simID,n_obs,est_D,est_sigm,est_p,ER,se.ER,error
1,696,4.246203364,1.172315266,0.669988942,11.37963719,0.394509848,0.221797211
2,712,4.374174798,1.159933469,0.665339098,11.64123805,0.467366627,0.349768645
3,644,3.732247504,1.273715622,0.705301189,10.52943441,0.46783975,-0.292158649
4,620,3.812654874,1.158238116,0.664696482,10.13703313,0.397257457,-0.211751279
5,658,3.490779111,1.350215085,0.770482378,10.75833516,0.421311405,-0.533627042
6,676,3.921376894,1.271683345,0.704640004,11.05263613,0.39683956,-0.103029259
7,647,3.761852587,1.266698071,0.703010307,10.57848458,0.427016148,-0.262553566
8,678,4.090064858,1.192968909,0.677577044,11.08533623,0.466577023,0.065658705
9,703,4.236205963,1.195034234,0.678324406,11.49408757,0.417851177,0.21179981
10,668,4.423383347,1.182845708,0.617278384,10.9218357,0.350353992,0.398977194
11,625,3.757117272,1.199578931,0.679961701,10.2187834,0.493919448,-0.267288881
12,636,3.798478073,1.212024778,0.684394762,10.39863399,0.402146679,-0.22592808
13,635,3.644016728,1.295526586,0.71228295,10.38228393,0.46567722,-0.380389425
14,630,3.804400325,1.191055665,0.676882872,10.30053367,0.470355036,-0.220005828
15,692,3.850282903,1.370094609,0.734636731,11.31423698,0.384235252,-0.17412325
16,675,3.998155906,1.22831476,0.690086025,11.03628607,0.469619531,-0.026250247
17,704,4.243070352,1.194663377,0.678190359,11.51043762,0.410540289,0.2186642
18,664,3.859520286,1.267351082,0.703224409,10.85643548,0.470785997,-0.164885867
19,655,3.69616408,1.334834647,0.724351298,10.709285,0.37854328,-0.328242072
20,677,3.910858839,1.280764283,0.707580268,11.06898618,0.395408412,-0.113547314
21,657,3.907003163,1.220451771,0.687354518,10.74198511,0.2864439,-0.11740299
22,706,4.069183759,1.285753235,0.709180171,11.54313773,0.442317168,0.044777606
23,645,3.803954427,1.237031406,0.693080364,10.54578447,0.459499799,-0.220451726
24,684,3.850836243,1.340506132,0.726039479,11.18343655,0.326210801,-0.17356991
25,703,4.125718474,1.247084064,0.696490056,11.49408757,0.388351601,0.101312321
26,653,3.639544544,1.365671631,0.733373693,10.6765849,0.464249793,-0.384861609
27,717,4.161936301,1.270268904,0.704178744,11.72298832,0.468204123,0.137530148
28,598,3.505893337,1.249215021,0.69720689,9.777331957,0.412690198,-0.518512816
29,687,4.263070404,1.142620399,0.658708727,11.23248671,0.42224026,0.238664251
30,640,3.648443182,1.310705946,0.717020499,10.4640342,0.570921378,-0.375962971
31,633,3.705587048,1.252302601,0.69824185,10.34958383,0.372108509,-0.318819104
32,654,3.714580577,1.319300799,0.719659644,10.69293495,0.31674841,-0.309825576
33,685,4.406088712,1.221072808,0.635472146,11.19978661,0.44812478,0.381682559
34,675,4.196129041,1.139577654,0.657527805,11.03628607,0.4064899,0.171722888
35,653,3.858341795,1.23325038,0.691785841,10.6765849,0.393304664,-0.166064358
36,655,4.163619537,1.103165153,0.643027353,10.709285,0.434336225,0.139213384
37,669,3.948436753,1.23552185,0.692564326,10.93818575,0.401974726,-0.0759694
38,653,3.855212461,1.234888124,0.692347374,10.6765849,0.382612452,-0.169193691
39,661,4.09185917,1.146734469,0.660297977,10.80738532,0.435861628,0.067453017
40,633,3.578844023,1.33022591,0.722969747,10.34958383,0.499080827,-0.44556213
41,743,4.236266737,1.160866078,0.716910104,12.14808971,0.455226977,0.211860584
42,689,4.204183521,1.172021718,0.669879583,11.26518682,0.414395422,0.179777368
43,642,3.744038515,1.260281973,0.700896523,10.49673431,0.381103699,-0.280367638
44,686,3.818079908,1.21750048,0.734409502,11.21613666,0.477203716,-0.206326245
45,696,4.20295412,1.191056742,0.676883263,11.37963719,0.430059888,0.178547967
46,651,3.631043988,1.212236958,0.732839152,10.64388479,0.332715934,-0.393362164
47,693,4.388891271,1.109038949,0.645412835,11.33058703,0.452586898,0.364485119
48,680,4.112111251,1.188443834,0.675932365,11.11803634,0.476391717,0.087705098
