"simID" "estD" "error"
"1" 1 9.3875 -0.612500000000001
"2" 2 9.3375 -0.6625
"3" 3 9.23875 -0.76125
"4" 4 9.3225 -0.6775
"5" 5 9.38125 -0.61875
"6" 6 9.38625 -0.61375
"7" 7 9.29125 -0.70875
"8" 8 9.28 -0.720000000000001
"9" 9 9.59375 -0.40625
"10" 10 9.4125 -0.5875
"11" 11 9.34125 -0.65875
"12" 12 9.26125 -0.73875
"13" 13 9.38875 -0.61125
"14" 14 9.30375 -0.696249999999999
"15" 15 9.315 -0.685
"16" 16 9.55875 -0.44125
"17" 17 9.43875 -0.561249999999999
"18" 18 9.3575 -0.6425
"19" 19 9.355 -0.645
"20" 20 9.4625 -0.5375
"21" 21 9.52375 -0.47625
"22" 22 9.48625 -0.51375
"23" 23 9.32 -0.68
"24" 24 9.33125 -0.668749999999999
"25" 25 9.55 -0.449999999999999
"26" 26 9.2575 -0.7425
"27" 27 9.24 -0.76
"28" 28 9.445 -0.555
"29" 29 9.355 -0.645
"30" 30 9.42375 -0.57625
"31" 31 9.36875 -0.63125
"32" 32 9.405 -0.595000000000001
"33" 33 9.635 -0.365
"34" 34 9.3725 -0.6275
"35" 35 9.2825 -0.717499999999999
"36" 36 9.565 -0.435
"37" 37 9.40125 -0.598750000000001
"38" 38 9.4725 -0.5275
"39" 39 9.63125 -0.36875
"40" 40 9.375 -0.625
"41" 41 9.28375 -0.71625
"42" 42 9.26625 -0.733750000000001
"43" 43 9.3025 -0.6975
"44" 44 9.5575 -0.442500000000001
"45" 45 9.6025 -0.397500000000001
"46" 46 9.46375 -0.536250000000001
"47" 47 9.30125 -0.69875
"48" 48 9.42125 -0.578749999999999
"49" 49 9.29875 -0.70125
"50" 50 9.23875 -0.76125
"51" 51 9.4025 -0.5975
"52" 52 9.3275 -0.672499999999999
"53" 53 9.6925 -0.307499999999999
"54" 54 9.525 -0.475
"55" 55 9.4625 -0.5375
"56" 56 9.2625 -0.737500000000001
"57" 57 9.33375 -0.66625
"58" 58 9.425 -0.574999999999999
"59" 59 9.69625 -0.303750000000001
"60" 60 9.26 -0.74
"61" 61 9.29375 -0.706250000000001
"62" 62 9.435 -0.565
"63" 63 9.20375 -0.796250000000001
"64" 64 9.61875 -0.38125
"65" 65 9.3075 -0.692500000000001
"66" 66 9.515 -0.484999999999999
"67" 67 9.1825 -0.817500000000001
"68" 68 9.31125 -0.688750000000001
"69" 69 9.16125 -0.838749999999999
"70" 70 9.5325 -0.467499999999999
"71" 71 9.3275 -0.672499999999999
"72" 72 9.5575 -0.442500000000001
"73" 73 9.31875 -0.68125
"74" 74 9.45125 -0.54875
"75" 75 9.23375 -0.766249999999999
"76" 76 9.41625 -0.58375
"77" 77 9.4125 -0.5875
"78" 78 9.44 -0.56
"79" 79 9.29 -0.710000000000001
"80" 80 9.34125 -0.65875
"81" 81 9.19 -0.81
"82" 82 9.445 -0.555
"83" 83 9.5425 -0.4575
"84" 84 9.3525 -0.647500000000001
"85" 85 9.4975 -0.5025
"86" 86 9.47 -0.529999999999999
"87" 87 9.34625 -0.65375
"88" 88 9.1925 -0.807499999999999
"89" 89 9.5675 -0.432499999999999
"90" 90 9.44625 -0.553750000000001
"91" 91 9.2075 -0.7925
"92" 92 9.4875 -0.512499999999999
"93" 93 9.35875 -0.641249999999999
"94" 94 9.315 -0.685
"95" 95 9.45375 -0.546250000000001
"96" 96 9.50125 -0.498749999999999
"97" 97 9.28875 -0.71125
"98" 98 9.32375 -0.67625
"99" 99 9.505 -0.494999999999999
"100" 100 9.53125 -0.46875
"101" 101 9.525 -0.475
"102" 102 9.28125 -0.71875
"103" 103 9.48375 -0.516249999999999
"104" 104 9.45125 -0.54875
"105" 105 9.6075 -0.3925
"106" 106 9.4025 -0.5975
"107" 107 9.31625 -0.68375
"108" 108 9.22125 -0.77875
"109" 109 9.44625 -0.553750000000001
"110" 110 9.3275 -0.672499999999999
"111" 111 9.2925 -0.7075
"112" 112 9.62 -0.380000000000001
"113" 113 9.29 -0.710000000000001
"114" 114 9.34 -0.66
"115" 115 9.3175 -0.682499999999999
"116" 116 9.535 -0.465
"117" 117 9.3375 -0.6625
"118" 118 9.55125 -0.44875
"119" 119 9.4625 -0.5375
"120" 120 9.3675 -0.6325
"121" 121 9.3975 -0.602499999999999
"122" 122 9.3325 -0.6675
"123" 123 9.355 -0.645
"124" 124 9.46875 -0.53125
"125" 125 9.435 -0.565
"126" 126 9.41875 -0.581250000000001
"127" 127 9.39875 -0.60125
"128" 128 9.3225 -0.6775
"129" 129 9.485 -0.515000000000001
"130" 130 9.5975 -0.4025
"131" 131 9.5425 -0.4575
"132" 132 9.305 -0.695
"133" 133 9.27375 -0.72625
"134" 134 9.3675 -0.6325
"135" 135 9.2275 -0.772500000000001
"136" 136 9.38125 -0.61875
"137" 137 9.2775 -0.7225
"138" 138 9.175 -0.824999999999999
"139" 139 9.34125 -0.65875
"140" 140 9.395 -0.605
"141" 141 9.405 -0.595000000000001
"142" 142 9.39 -0.609999999999999
"143" 143 9.23625 -0.76375
"144" 144 9.42625 -0.57375
"145" 145 9.24125 -0.758749999999999
"146" 146 9.46625 -0.53375
"147" 147 9.435 -0.565
"148" 148 9.27625 -0.723750000000001
"149" 149 9.5625 -0.4375
"150" 150 9.50375 -0.49625
"151" 151 9.31375 -0.686249999999999
"152" 152 9.36375 -0.63625
"153" 153 9.60625 -0.393750000000001
"154" 154 9.345 -0.654999999999999
"155" 155 9.45625 -0.543749999999999
"156" 156 9.50875 -0.491250000000001
"157" 157 9.455 -0.545
"158" 158 9.35875 -0.641249999999999
"159" 159 9.165 -0.835000000000001
"160" 160 9.52875 -0.47125
"161" 161 9.49875 -0.501250000000001
"162" 162 9.43625 -0.563750000000001
"163" 163 9.2 -0.800000000000001
"164" 164 9.41125 -0.588749999999999
"165" 165 9.46 -0.539999999999999
"166" 166 9.3525 -0.647500000000001
"167" 167 9.49625 -0.50375
"168" 168 9.245 -0.755000000000001
"169" 169 9.5475 -0.452500000000001
"170" 170 9.4875 -0.512499999999999
"171" 171 9.29625 -0.703749999999999
"172" 172 9.36375 -0.63625
"173" 173 9.40875 -0.59125
"174" 174 9.5125 -0.487500000000001
"175" 175 9.465 -0.535
"176" 176 9.44 -0.56
