"p" "precision" "bias"
"1" 0.8 0.0561634322493462 -0.03989735
"2" 0.81 0.0558703126587514 -0.03819285
"3" 0.82 0.0556481667339316 -0.0360076
"4" 0.83 0.0549672904103679 -0.03396255
"5" 0.84 0.0541334450520267 -0.0319559
"6" 0.85 0.0549463731533442 -0.02992045
"7" 0.86 0.0535585427793203 -0.0279395
"8" 0.87 0.054011416761914 -0.0258736
"9" 0.88 0.0529723794779078 -0.02402275
"10" 0.89 0.0531417044467575 -0.0218937
"11" 0.9 0.0530079076094343 -0.0200633
"12" 0.91 0.0526111529762127 -0.01789125
"13" 0.92 0.0517203783698832 -0.01598095
"14" 0.93 0.0520979376810016 -0.0140502
"15" 0.94 0.0511452786850171 -0.01189235
"16" 0.95 0.050639827569211 -0.00985580000000001
"17" 0.96 0.0510936376602023 -0.00807980000000001
"18" 0.97 0.0515168498109453 -0.00594670000000001
"19" 0.98 0.0509410935788597 -0.00410310000000001
"20" 0.99 0.0501331783825733 -0.00193850000000001
