"method" "idx" "estD" "seD" "cvD"
"1" "LTS" 1 3.3046252634219 1.94173590741465 0.5875812694732
"2" "LTS" 2 3.36958955194422 2.01332627603415 0.597498966861551
"3" "LTS" 3 4.39607629946858 2.39592954000861 0.545015458512002
"4" "LTS" 4 4.91873421934283 2.68604876843984 0.546085364376268
"5" "LTS" 5 1.72970357860698 1.13815209714063 0.658004129272395
"6" "LTS" 6 2.65103797596737 1.89099455747329 0.713303458726676
"7" "LTS" 7 2.70467586793572 1.90150960910504 0.703045282300802
"8" "LTS" 8 1.57820570498157 1.13746505556325 0.720733078060022
"9" "LTS" 9 2.45410009803835 1.93306883552476 0.787689482213838
"10" "LTS" 10 5.81266794211564 2.85085579176417 0.490455642770908
"11" "LTS" 11 8.47739872610823 3.22251923868253 0.380130667766987
"12" "LTS" 12 3.29298715915258 1.8937751012825 0.57509337563583
"13" "LTS" 13 4.34026697152002 2.5618795666417 0.59025852175736
"14" "LTS" 14 6.12205179221527 2.61727458136398 0.427515916263902
"15" "LTS" 15 2.9644107283482 2.12127274289695 0.715579903490276
"16" "LTS" 16 4.39607415189594 2.39592838668294 0.545015462409709
"17" "LTS" 17 5.49010502942797 2.84395943159804 0.518015487199953
"18" "LTS" 18 2.27546325692938 2.13237847453992 0.937118394703263
"19" "LTS" 19 7.65968692860724 3.13710177911393 0.409560052304167
"20" "LTS" 20 5.93065609162939 3.13423399416664 0.528480145491886
"21" "LTS" 21 4.87846234541544 2.88630576656217 0.591642522212884
"22" "LTS" 22 5.7086155186496 2.79424579457986 0.489478716065442
"23" "LTS" 23 6.76018530437787 3.12738817384514 0.462618705410318
"24" "LTS" 24 5.65702095362465 2.7955569432371 0.494174754902735
"25" "LTS" 25 4.4475440509591 2.3992441507847 0.539453712722038
"26" "LTS" 26 6.62064351016653 3.22944028954197 0.487783443495017
"27" "LTS" 27 6.10383802923017 3.0160170291749 0.494118129401819
"28" "LTS" 28 3.47564440223009 2.03728646668737 0.586160789458258
"29" "LTS" 29 2.42635151594698 1.64151699807598 0.676537174142848
"30" "LTS" 30 2.66981588936885 1.5293117523852 0.572815435878888
"31" "LTS" 31 4.2061179943625 2.50596207208151 0.595789769911419
"32" "LTS" 32 6.17825981554872 3.05727698133159 0.494844353038924
"33" "LTS" 33 4.87846230445415 2.88630574250003 0.591642522248203
"34" "LTS" 34 6.81189295030534 3.27214734059975 0.480358009802999
"35" "LTS" 35 0.828040631795569 0.721708783702192 0.871586195157113
"36" "LTS" 36 6.64514299390231 2.85233888033445 0.429236644411084
"37" "LTS" 37 2.35615133737379 1.71650575849553 0.728521012749876
"38" "LTS" 38 1.0225402275341 0.915600669105805 0.895417749298547
"39" "LTS" 39 3.35019015608084 1.86657229653614 0.55715413441478
"40" "LTS" 40 4.98239381540295 2.84324201531009 0.570657824461863
"41" "LTS" 41 3.54532635804962 2.03312123696574 0.573465185327598
"42" "LTS" 42 3.46249062377508 2.33349147232836 0.673934380155579
"43" "LTS" 43 1.50936571305007 1.40299694480827 0.929527504618577
"44" "LTS" 44 5.77031762729271 2.89317891098228 0.501389888365589
"45" "LTS" 45 3.40912147632478 2.03104552069649 0.595768010850134
"46" "LTS" 46 3.35445037006956 2.02405987476507 0.603395385671812
"47" "LTS" 47 3.35019128262658 1.86657291488864 0.557154131636695
"48" "LTS" 48 6.48675926691893 2.84170964361058 0.438078480590868
"49" "LTS" 49 6.17377648006924 2.61554440327091 0.423653887003305
"50" "LTS" 50 3.80029177663422 2.24004153560582 0.58943935551963
"51" "LTS" 51 2.77007385246498 1.91175510224693 0.690145896487824
"52" "LTS" 52 5.29711578049641 2.93553796302227 0.554176666069996
"53" "LTS" 53 3.40912147632478 2.03104552069649 0.595768010850134
"54" "LTS" 54 6.81189101126744 3.27214642861316 0.480358012657682
"55" "LTS" 55 8.52903417544537 3.21826793033419 0.377330875235489
"56" "LTS" 56 4.92922645614045 2.88403297024371 0.585088349238044
"57" "LTS" 57 0.912483398461965 0.761218836639623 0.834227601206437
"58" "LTS" 58 4.8411895596859 2.63287276429026 0.543848310798447
