"method" "idx" "estD" "seD" "cvD" "p" "detfunc"
"1" "LTS" 1 3.90451022679626 1.89492787428726 0.485317687550813 0.508246668455804 "uniform key function with cosine(1,2,3) adjustments"
"2" "LTS" 2 4.16881949405875 1.72759564843691 0.414408839456593 0.591834211943269 "half-normal key function with cosine(2) adjustments"
"3" "LTS" 3 4.24393298032261 1.68631561686933 0.397347372045716 0.616158999711919 "half-normal key function with cosine(2) adjustments"
"4" "LTS" 4 7.02739905393118 2.31478077074582 0.329393670827746 0.576699383286125 "half-normal key function with cosine(2) adjustments"
"5" "LTS" 5 7.31817174191769 2.39467914214761 0.327223687363217 0.581504804824614 "uniform key function with cosine(1,2,3) adjustments"
"6" "LTS" 6 4.56680207276418 1.8473120372347 0.404508889984927 0.540257703462639 "hazard-rate key function"
"7" "LTS" 7 2.8191299238196 1.41758001500199 0.502843094610314 0.595989317697183 "half-normal key function with cosine(2) adjustments"
"8" "LTS" 8 2.53440857580044 1.36740265560362 0.539535207014423 0.574203587912936 "hazard-rate key function with cosine(2) adjustments"
"9" "LTS" 9 4.52412006359124 1.79383563539699 0.39650486949567 0.623841760543451 "half-normal key function with cosine(2) adjustments"
"10" "LTS" 10 1.92703982815388 1.04611952715094 0.542863469590626 0.550001605838821 "half-normal key function with cosine(2) adjustments"
"11" "Opt" 1 3.0497906527457 1.2900088764792 0.422982762871877 0.515276487994962 "hazard-rate key function"
"12" "Opt" 2 4.51188754060276 1.51683689901644 0.336186770030575 0.565428543385011 "half-normal key function with cosine(2) adjustments"
"13" "Opt" 3 5.31702090258786 1.60496893688133 0.301854923327492 0.615969931283504 "half-normal key function with cosine(2) adjustments"
"14" "Opt" 4 2.71604274454112 0.88234998695269 0.32486601645946 0.674388011877969 "half-normal key function"
"15" "Opt" 5 6.82455901592232 1.92720058849129 0.282391958805684 0.576532978050829 "uniform key function with cosine(1,2,3) adjustments"
"16" "Opt" 6 4.97795519446614 1.59779851486455 0.320974868685195 0.5390374283902 "hazard-rate key function"
"17" "Opt" 7 1.95809831096062 0.886143146713858 0.45255293963209 0.652753109866948 "half-normal key function"
"18" "Opt" 8 2.28055240563259 0.996540432649103 0.436973265857787 0.598217822422138 "hazard-rate key function with cosine(2) adjustments"
"19" "Opt" 9 4.21733234827275 1.49623256663181 0.354781753741701 0.581627546539291 "half-normal key function with cosine(2) adjustments"
"20" "Opt" 10 2.96074840927026 1.30739511686032 0.441575891003369 0.556587875385478 "hazard-rate key function"
"21" "GrB" 1 4.89857168377066 2.35787106154738 0.481338482676325 0.467164236379712 "half-normal key function with cosine(2,3) adjustments"
"22" "GrB" 2 3.78151025269491 1.72814695072125 0.45699914458507 0.559441385046011 "half-normal key function with cosine(2,3) adjustments"
"23" "GrB" 3 5.1643536029642 2.05093230163998 0.397132431145458 0.619385760397458 "half-normal key function with cosine(2) adjustments"
"24" "GrB" 4 6.39056802076885 2.32613180401905 0.363994530135554 0.610354912217031 "hazard-rate key function"
"25" "GrB" 5 5.89583498179481 2.3130510113063 0.392319496466329 0.573591712416593 "half-normal key function with cosine(2,3) adjustments"
"26" "GrB" 6 5.03753278029069 2.15375156845197 0.42754095355538 0.527971336895835 "half-normal key function with cosine(2,3) adjustments"
"27" "GrB" 7 3.17730091228206 1.5893171685761 0.500209836100978 0.609808074051249 "hazard-rate key function"
"28" "GrB" 8 2.92012718889639 1.56667693076881 0.53650982625894 0.574696714027118 "hazard-rate key function with cosine(2) adjustments"
"29" "GrB" 9 5.36823150369861 2.09517680303366 0.390291812413478 0.606282844624764 "hazard-rate key function with cosine(2) adjustments"
"30" "GrB" 10 2.74965840477316 1.46041479425448 0.531125899755158 0.479013289207219 "half-normal key function with cosine(2,3) adjustments"
