"round" "dhat_doubleObs" "sed_double" "dhat_singleObs" "sed_single" "probOverall" "probObs1" "probObs2" "sed_double_mod"
"1" 1 6.37752925877763 2.19134118291046 5.04081632653061 1.5446746304669 0.990979381443299 0.924278846153846 0.880870561282932 0.0117817007534612
"2" 2 3.9059793814433 2.06438694259261 3.61224489795918 1.29717652782062 0.983108108108108 0.866071428571429 0.873873873873874 0.0134931367093372
"3" 3 12.8588907725842 3.27184232522779 6.22448979591837 1.75212827487051 0.992309540975727 0.92474804031355 0.89780387040661 0.0155235067532871
"4" 4 6.48972972972973 2.53008473685355 5.89795918367347 1.6343581657369 0.992337164750958 0.94010889292196 0.872053872053872 0.0107553794192719
"5" 5 5.59171705647462 2.55224476271917 6.20408163265306 1.71997557524896 0.994327850255247 0.948080043266631 0.890752032520325 0.00877053293696414
"6" 6 3.2 1.80554700852678 4.28571428571429 1.46297851059029 NA NA NA NA
"7" 7 5.86666666666667 1.68110073461611 5.93877551020408 1.45054768077619 0.981818181818182 0.9 0.818181818181818 0.0191564205928825
"8" 8 5.85142857142857 2.41062478419437 4.6734693877551 1.36226719133839 0.984375 0.875 0.875 0.0158785275820981
"9" 9 4.15 1.95205802811876 3.63265306122449 1.28296461182546 0.983132530120482 0.906666666666667 0.819277108433735 0.0163402471361539
"10" 10 5.64 2.06307214286526 5.73469387755102 1.33941285434747 NA NA NA NA
"11" 11 5.62541603630862 2.42757716383262 6.02040816326531 1.74171747376949 0.995481927710843 0.960755813953488 0.884872824631861 0.00739896034012733
"12" 12 2.81632653061225 1.16832650019203 2.42857142857143 0.97807599554494 0.98 0.890909090909091 0.816666666666667 0.012916692181842
"13" 13 8.3125 3.02421601736806 5.28571428571429 1.66930063974418 0.986466165413534 0.874083944037308 0.892517006802721 0.0171936614164074
"14" 14 5.8149356223176 2.50715120853465 4.14285714285714 1.3451854182691 0.990552668871044 0.927055702917772 0.870485678704857 0.0115120285124205
"15" 15 5.77951445086705 2.45739600020629 4.57142857142857 1.43005874956621 0.989702517162471 0.901511203751954 0.895445134575569 0.0124025974503007
"16" 16 6.688 2.58416557203746 6.71428571428571 1.71130693581585 0.986842105263158 0.87719298245614 0.892857142857143 0.0150459751724137
"17" 17 3.52405063291139 1.91703807570686 3.44897959183673 1.30151051192889 0.9875 0.897727272727273 0.877777777777778 0.0107462788925456
"18" 18 3.94048997772828 1.93346610292882 2.22448979591837 0.942778363466796 0.984649122807018 0.85933014354067 0.890873015873016 0.0128341922575507
"19" 19 6.11338235294118 2.86134187485994 3.75510204081633 1.42664471627198 0.974910394265233 0.797653958944281 0.876006441223833 0.0305859179951041
"20" 20 1.8 1.01488915650922 2.89795918367347 1.131733401231 NA NA NA NA
"21" 21 8.20486597938144 2.96674819688757 5.22448979591837 1.59219645333812 0.994531784005468 0.94541910331384 0.899814471243043 0.0102653996310639
"22" 22 8.02689075630252 2.93967596778374 6.81632653061224 1.82240251024392 0.991666666666667 0.952 0.826388888888889 0.0137697464944152
"23" 23 2.82764705882353 1.84722650079144 5.26530612244898 1.68167785257266 0.976076555023923 0.795321637426901 0.883116883116883 0.0145304739587309
"24" 24 10.4012598425197 3.12046215814819 9.12244897959184 1.91743536486981 0.9921875 0.933823529411765 0.881944444444444 0.0143213866626707
"25" 25 8.13670103092783 3.00584090961754 5.16326530612245 1.65968271565557 0.98811544991511 0.894009216589862 0.887871853546911 0.0160501145453865
"26" 26 7.65698982324585 2.90024316786927 6.46938775510204 1.70735255755693 0.992557150451887 0.927010923535253 0.898027898027898 0.011413007076637
"27" 27 5.61484536082474 2.27836687617981 4.08163265306122 1.49569584706135 0.983108108108108 0.866071428571429 0.873873873873874 0.0163225751610715
"28" 28 6.64362606232295 2.53933950021086 4.79591836734694 1.46064576385933 0.987412587412587 0.928947368421053 0.822843822843823 0.0184807676743633
"29" 29 9.39804878048781 3.15009838444292 6.02040816326531 1.79011120486436 0.995951417004049 0.95906432748538 0.901098901098901 0.00903653821029184
"30" 30 4.2 1.80923556601492 3.38775510204082 1.22606899301029 NA NA NA NA
"31" 31 5.65053221288515 2.42518144220839 6.55102040816327 1.71181896545298 0.998136067101584 0.984827586206897 0.877149877149877 0.00469365323129108
"32" 32 5.45705329153605 2.75638857163305 4.06122448979592 1.50915803081066 0.996875 0.972560975609756 0.886111111111111 0.00596361848283552
"33" 33 6.4 2.84194768893917 5.79591836734694 1.67970569372978 1 1 0.904761904761905 NA
"34" 34 5.39930434782609 2.49339565349249 4.81632653061224 1.50302231500778 0.98531211750306 0.864661654135338 0.891472868217054 0.0146216170074289
"35" 35 5.86202898550725 2.24841728862518 6.06122448979592 1.61055409489174 0.982594936708861 0.8625 0.873417721518987 0.0170783247413482
"36" 36 6.52 2.50407667614233 7.81632653061224 2.02863712783192 NA NA NA NA
"37" 37 7.3952422907489 2.5965808222202 5.91836734693878 1.51602458974532 0.989825581395349 0.91018444266239 0.88671875 0.0135401201764369
"38" 38 10.0687153652393 2.96083698319345 5.91836734693878 1.57921144499557 0.989202657807309 0.90515275877793 0.886160714285714 0.0164435512392113
"39" 39 4.8 2.1733231083604 6.69387755102041 1.82951149608672 NA NA NA NA
"40" 40 5.04 2.21470840819584 4.10204081632653 1.40039016002878 NA NA NA NA
"41" 41 1.32 0.729657453878188 2.53061224489796 0.830489385688808 NA NA NA NA
"42" 42 1.42325581395349 0.787507243264224 2.97959183673469 1.37874098263941 0.955555555555556 0.781818181818182 0.796296296296296 0.016268022966509
"43" 43 4.89809452363091 2.39389518388542 4.93877551020408 1.61450908780761 0.988139362490734 0.888074616922052 0.894030851777331 0.0123085269870737
"44" 44 3.93411764705882 1.93907708734336 4 1.30312288434387 0.976076555023923 0.795321637426901 0.883116883116883 0.0173978743258496
"45" 45 3.94666666666667 1.69887241713789 2.26530612244898 0.857031495843307 0.972972972972973 0.857142857142857 0.810810810810811 0.0227689775231247
"46" 46 6.64362606232295 2.53933950021086 5.85714285714286 1.72121614970741 0.987412587412587 0.928947368421053 0.822843822843823 0.0184807676743633
"47" 47 1.64 1.64 1.6734693877551 0.901806461384178 NA NA NA NA
"48" 48 6.06481481481481 2.25116398620597 3.89795918367347 1.25635963763603 0.989312977099237 0.939130434782609 0.824427480916031 0.015286417842401
"49" 49 5.1568345323741 2.42517092820687 5.36734693877551 1.75247489660299 0.992857142857143 0.939189189189189 0.882539682539683 0.00917781618192373
"50" 50 6.27436281859071 2.28166685393962 4.46938775510204 1.23893127936132 0.988148148148148 0.932867132867133 0.823456790123457 0.0169210079837368
"51" 51 8.16055363321799 2.63017367897864 10.2857142857143 2.16594702857947 0.985227272727273 0.917460317460317 0.821022727272727 0.0245882874487986
"52" 52 7.26106749007499 2.56865685170821 5.91836734693878 1.64229719616213 0.986080904741192 0.870918171340761 0.892168437622983 0.0176021110486238
"53" 53 6.68208239022182 2.89216625531053 4.87755102040816 1.50301076897363 0.99370220422852 0.937606112054329 0.899063899063899 0.00992180717769119
"54" 54 5.47528648648649 2.78385259138614 6 1.66828153058952 0.993555316863588 0.936234817813765 0.898931000971817 0.00903563623524887
"55" 55 3.24 1.41454350704859 3.3469387755102 1.15269243395012 NA NA NA NA
"56" 56 5.1044776119403 2.4261135884797 5.18367346938776 1.50047426442004 0.987368421052632 0.881578947368421 0.893333333333333 0.0131470258418176
"57" 57 5.41488054607508 2.24072720551454 5.79591836734694 1.58596619401822 0.989864864864865 0.915625 0.87987987987988 0.0115722052827768
"58" 58 5.60812260536399 2.57095835095079 3.91836734693878 1.30045672729608 0.984286612193589 0.867109634551495 0.881756756756757 0.015869052615476
"59" 59 2.96470588235294 1.32806087011872 3.10204081632653 1.08100674998018 0.971428571428571 0.85 0.80952380952381 0.0169907680426922
"60" 60 7.33942857142857 2.90712520611734 7.91836734693878 2.09831417891773 0.991902834008097 0.921052631578947 0.897435897435897 0.0122882113386955
"61" 61 3.42753036437247 1.36665800471582 3.30612244897959 1.25363555718233 0.968627450980392 0.83728813559322 0.80718954248366 0.0199196730616121
"62" 62 4.39511002444988 1.93074441216101 3.53061224489796 1.07503442470444 0.973809523809524 0.861052631578947 0.811507936507937 0.0241233462580384
"63" 63 6.06481481481481 2.25116398620597 7.89795918367347 1.84594722885948 0.989312977099237 0.939130434782609 0.824427480916031 0.015286417842401
"64" 64 3.94854368932039 1.90224261287644 5.53061224489796 1.66881716044025 0.992771084337349 0.958139534883721 0.827309236947791 0.00878990660239623
"65" 65 5.4 2.47184141886166 5.18367346938776 1.74517641092862 1 1 0.904761904761905 NA
"66" 66 4.86816143497758 1.7325307730235 3.61224489795918 1.13794193273995 0.969565217391304 0.841509433962264 0.807971014492754 0.0296952724722653
"67" 67 2.30140845070423 1.10037363985202 3.26530612244898 1.13680522259493 0.990697674418605 0.946666666666667 0.825581395348837 0.00745360201520297
"68" 68 3.67444794952681 1.35418721213246 3.18367346938776 1.02422754591249 0.990625 0.946268656716418 0.825520833333333 0.00932887299341446
