"method" "idx" "estD" "seD" "cvD" "p" "detfunc"
"1" "LTS" 1 0.174983033195063 0.0694413128659603 0.396845977567153 0.897791805667282 "hazard-rate key function"
"2" "LTS" 2 0.20241040031754 0.0714692006149778 0.353090555143695 0.838677672031771 "half-normal key function"
"3" "LTS" 3 0.13537808720024 0.0508501699693879 0.375615958394911 0.920680758442413 "half-normal key function"
"4" "LTS" 4 0.16647182224934 0.0706077483942461 0.424142340969216 0.701920591852376 "uniform key function with cosine(1) adjustments"
"5" "LTS" 5 0.205154357928446 0.0928386677177102 0.452530809752969 0.547421144095331 "half-normal key function with cosine(2,3,4,5) adjustments"
"6" "LTS" 6 0.0740930495259904 0.0182888250917187 0.246835907129229 0.959384860722532 "half-normal key function"
"7" "LTS" 7 0.171677387187584 0.0657315753676436 0.382878470161139 0.941532810773365 "half-normal key function"
"8" "LTS" 8 0.0824996286988759 0.0209066066416427 0.253414554360625 0.920640507089153 "uniform key function with cosine(1) adjustments"
"9" "LTS" 9 0.216855883491682 0.0678367200977187 0.312819366509467 0.838191077594807 "half-normal key function"
"10" "LTS" 10 0.0862314560268724 0.0256943221086028 0.297969248027026 0.692593353807242 "uniform key function with cosine(1) adjustments"
"11" "Opt" 1 0.228482249465398 0.0583298489571921 0.255292693824891 0.911811282723001 "half-normal key function"
"12" "Opt" 2 0.138077690325884 0.042919464828652 0.310835622520595 0.900383808370826 "half-normal key function"
"13" "Opt" 3 0.155013553163003 0.043217057097273 0.278795345409755 0.873654790629338 "half-normal key function"
"14" "Opt" 4 0.184530528938936 0.0544282667831341 0.294955350185689 0.716156716927362 "half-normal key function"
"15" "Opt" 5 0.232108395233909 0.0736885707939018 0.317474819123374 0.553968904070682 "half-normal key function with cosine(2,3) adjustments"
"16" "Opt" 6 0.0899736644301039 0.0178541939279139 0.198437998952282 0.807565011312604 "uniform key function with cosine(1) adjustments"
"17" "Opt" 7 0.174426506014945 0.0507665546090397 0.291048394930814 0.882455394124117 "half-normal key function"
"18" "Opt" 8 0.111866858479584 0.0320303832519308 0.286325938595802 0.952173575930943 "uniform key function with cosine(1) adjustments"
"19" "Opt" 9 0.15409686533422 0.0388674704243505 0.252227521566068 0.943107186482382 "half-normal key function"
"20" "Opt" 10 0.107199955681939 0.0181806544201523 0.169595727017781 0.660051578845206 "uniform key function with cosine(1) adjustments"
