"method" "idx" "estD" "seD" "cvD" "p" "detfunc"
"1" "LTS" 1 0.113503415872809 0.058632129755541 0.516567094520253 0.872833747060719 "half-normal key function"
"2" "LTS" 2 0.135711077968727 0.0487927930380175 0.359534341398873 0.937555493413638 "uniform key function with cosine(1) adjustments"
"3" "LTS" 3 0.0763339645753673 0.0139775253381001 0.183110171413927 0.93069108125034 "uniform key function with cosine(1) adjustments"
"4" "LTS" 4 0.118393302779636 0.0503678723878128 0.425428391684976 0.980335408616436 "half-normal key function"
"5" "LTS" 5 0.245745969610403 0.0766179852214805 0.311777179267468 0.867771098496879 "half-normal key function"
"6" "LTS" 6 0.102796361715226 0.0647022163297293 0.629421267933316 0.837912016114001 "hazard-rate key function"
"7" "LTS" 7 0.0643168223073653 0.0141999904227886 0.220781902982208 0.97409323946214 "uniform key function with cosine(1) adjustments"
"8" "LTS" 8 0.276546904672765 0.0711781464449444 0.257381822910543 0.934482694084776 "half-normal key function"
"9" "LTS" 9 0.255107236649372 0.0701119182429163 0.274833121803128 0.881732141174654 "hazard-rate key function"
"10" "LTS" 10 0.105496759843451 0.0171614973798353 0.162673217692199 0.787638724228473 "half-normal key function with cosine(2) adjustments"
"11" "LTS" 11 0.108683375076953 0.0473833783633093 0.435976324159601 0.465894622467769 "uniform key function with cosine(1,2,3) adjustments"
"12" "LTS" 12 0.137888568539685 0.0593559563613144 0.430463213810443 0.823883864121563 "half-normal key function"
"13" "LTS" 13 0.169447836771987 0.0704666928441955 0.415860681296375 0.906048254090475 "hazard-rate key function"
"14" "LTS" 14 0.198060069282329 0.0633743270703541 0.319975284770883 0.703050597248395 "uniform key function with cosine(1) adjustments"
"15" "LTS" 15 0.140869474357188 0.0444877425542876 0.315808252691316 0.972348106583799 "half-normal key function"
"16" "LTS" 16 0.146294016619411 0.0505399720918563 0.345468483672425 0.905231827385816 "uniform key function with cosine(1) adjustments"
"17" "LTS" 17 0.225268498550943 0.0504681553143079 0.2240355648435 0.894782232298746 "hazard-rate key function"
"18" "LTS" 18 0.0783679806901893 0.025057898701027 0.319746642446842 0.582178625991546 "uniform key function with cosine(1) adjustments"
"19" "LTS" 19 0.167737790423014 0.0588461962488035 0.350822531406909 0.775960600997689 "uniform key function with cosine(1) adjustments"
"20" "LTS" 20 0.258331942542074 0.075152420486295 0.290914161627747 0.851878779815073 "half-normal key function"
"21" "LTS" 21 0.118709803624368 0.01069067716162 0.090057239041928 0.806606366196347 "uniform key function with cosine(1) adjustments"
"22" "LTS" 22 0.1059402114376 0.0201271001142293 0.189985462942789 0.716937402420959 "uniform key function with cosine(1) adjustments"
"23" "LTS" 23 0.171876671284562 0.0587779523515531 0.341977488348255 0.770494326020236 "uniform key function with cosine(1) adjustments"
"24" "LTS" 24 0.0851584924090639 0.0231310089513814 0.271623044244022 0.747058003654396 "uniform key function with cosine(1) adjustments"
"25" "LTS" 25 0.223235072498153 0.0838900757834623 0.375792543907528 0.868603181121447 "hazard-rate key function"
"26" "LTS" 26 0.143615305913991 0.0507084817060127 0.353085497282449 0.910815755332315 "half-normal key function"
"27" "LTS" 27 0.166996654041954 0.0362965005421906 0.217348669351614 0.518955008393328 "hazard-rate key function"
"28" "LTS" 28 0.14968409129002 0.0503680244761279 0.336495508921769 0.886898415116906 "half-normal key function"
"29" "LTS" 29 0.187986638879731 0.0610982167067723 0.325013613046518 0.730364406844044 "uniform key function with cosine(1) adjustments"
"30" "LTS" 30 0.159922403752847 0.0576920074164921 0.360750001642374 0.805763172072374 "half-normal key function"
"31" "LTS" 31 0.11211450828727 0.0250127595810155 0.223100114009559 0.723776383386657 "uniform key function with cosine(1) adjustments"
"32" "LTS" 32 0.31023073119509 0.0664502389479989 0.214196184536636 0.886185847141131 "hazard-rate key function"
"33" "LTS" 33 0.17668152779806 0.0728461563702352 0.412302051482685 0.681567666792549 "half-normal key function with cosine(2) adjustments"
"34" "LTS" 34 0.112074368341095 0.0497449765628278 0.443856854150901 0.982195844192621 "half-normal key function"
"35" "LTS" 35 0.175652280037216 0.0614854353542521 0.350040633353719 0.962742508271665 "hazard-rate key function"
"36" "LTS" 36 0.0892604169227223 0.0163493454820248 0.183164565500286 0.967272724497974 "uniform key function with cosine(1) adjustments"
"37" "LTS" 37 0.260590756151826 0.0835735063896044 0.320707870162949 0.803390930252432 "half-normal key function"
"38" "LTS" 38 0.0926281153624812 0.0218786292708654 0.236198579505238 0.739376841095418 "uniform key function with cosine(1) adjustments"
"39" "LTS" 39 0.137551625374134 0.0593421437269324 0.431417248364201 0.822111315295009 "half-normal key function"
"40" "LTS" 40 0.163877830341779 0.0575855519276374 0.351393179953252 0.790276205938899 "half-normal key function"
"41" "LTS" 41 0.136681518836382 0.054306052901997 0.397318184377257 0.863109013379985 "hazard-rate key function"
"42" "LTS" 42 0.173266308095314 0.0495365799868897 0.285898513862484 0.976967370242954 "uniform key function with cosine(1) adjustments"
"43" "LTS" 43 0.25415197981521 0.0727334589955454 0.286180965611319 0.871931350460937 "hazard-rate key function"
"44" "LTS" 44 0.167737790423014 0.0588461962488035 0.350822531406909 0.775960600997689 "uniform key function with cosine(1) adjustments"
"45" "LTS" 45 0.259475277965914 0.0699434260543894 0.269557187115057 0.871892633112634 "hazard-rate key function"
"46" "LTS" 46 0.131326598407632 0.0721019608213176 0.549027856470601 0.717153339152737 "half-normal key function"
"47" "LTS" 47 0.19033353298999 0.0669222505516793 0.351605150707726 0.678725207467571 "uniform key function with cosine(1) adjustments"
"48" "LTS" 48 0.129697038318011 0.0622890899847394 0.480266093910406 0.801544247590348 "half-normal key function"
"49" "LTS" 49 0.114552174040318 0.0179536004399796 0.156728587566227 0.69704045923997 "uniform key function with cosine(1) adjustments"
"50" "LTS" 50 0.23451587702844 0.0680642240761961 0.290232904222267 0.799984926580963 "half-normal key function"
"51" "LTS" 51 0.17187895965369 0.0284246042621925 0.165375705784255 0.581639933521207 "uniform key function with cosine(1,2,3,4) adjustments"
"52" "LTS" 52 0.162558838185345 0.0540817069371353 0.332690043438135 0.828635864017123 "uniform key function with cosine(1) adjustments"
"53" "LTS" 53 0.138590665973134 0.0503869539573222 0.363566720771006 0.911049209411713 "half-normal key function"
"54" "LTS" 54 0.119317980211572 0.0507088889314565 0.424989501511344 0.958667712761275 "half-normal key function"
"55" "LTS" 55 0.180889925452197 0.0651147376474672 0.359968845609783 0.922406721002021 "half-normal key function"
"56" "LTS" 56 0.128897510778624 0.0595097491163679 0.461682686941668 0.831798714763501 "half-normal key function"
"57" "LTS" 57 0.21863100228079 0.0647892897995955 0.296340816827003 0.847716386971063 "half-normal key function"
"58" "LTS" 58 0.119044287234626 0.0701888264570272 0.589602643583317 0.744355332443252 "half-normal key function"
"59" "LTS" 59 0.126860568411881 0.0603669370581899 0.475852645261648 0.831539576512363 "half-normal key function"
"60" "LTS" 60 0.175184758644188 0.070208356855796 0.400767494838943 0.681832526933869 "uniform key function with cosine(1) adjustments"
"61" "LTS" 61 0.0781013574679496 0.028555279353074 0.365618220717767 0.656636047429933 "uniform key function with cosine(1,2) adjustments"
"62" "LTS" 62 0.14360834732592 0.0549011543175327 0.382297793546321 0.863395726238223 "half-normal key function"
"63" "LTS" 63 0.139954665811547 0.024091961188757 0.17214117906721 0.56124721681259 "uniform key function with cosine(1,2,3) adjustments"
"64" "LTS" 64 0.108874361098054 0.028351161124205 0.260402548756832 0.581346695049686 "uniform key function with cosine(1) adjustments"
"65" "LTS" 65 0.115036398706822 0.018806066576649 0.163479270805213 0.682820112152976 "uniform key function with cosine(1,2) adjustments"
"66" "LTS" 66 0.0881296961239574 0.0549806559532336 0.623860723131297 0.977358489615557 "uniform key function with cosine(1) adjustments"
"67" "LTS" 67 0.0861715123540336 0.0220673122470003 0.256085934250954 0.915311195606607 "uniform key function with cosine(1) adjustments"
"68" "LTS" 68 0.163631832958378 0.0593530548724036 0.362723155998019 0.785513415550962 "uniform key function with cosine(1) adjustments"
"69" "LTS" 69 0.211068473280193 0.0546641107776587 0.258987568953949 0.824266476006168 "uniform key function with cosine(1) adjustments"
"70" "LTS" 70 0.10242999062864 0.038492381760314 0.375792104676336 0.983766192565391 "uniform key function with cosine(1) adjustments"
"71" "LTS" 71 0.0452474590107363 0.016355540312599 0.361468702777722 0.878683584311131 "uniform key function with cosine(1) adjustments"
"72" "LTS" 72 0.169375074602122 0.052055590968986 0.307339147104551 0.829783152352762 "half-normal key function"
"73" "LTS" 73 0.209060408778958 0.0733479424774239 0.3508456857318 0.810447568669701 "uniform key function with cosine(1) adjustments"
"74" "LTS" 74 0.116536278611857 0.0565343932300085 0.485122692293149 0.904637350797172 "hazard-rate key function"
"75" "LTS" 75 0.141566119719596 0.0458923737999759 0.324176249874448 0.965270388169137 "half-normal key function"
