"round" "dhat_doubleObs" "sed_double" "dhat_singleObs" "sed_single." "probOverall" "probObs1" "probObs2" "sed_double_mod"
"1" 1 0.144862414239439 0.0516459145188738 0.204081632653061 0.044319482639986 0.994444444444444 0.904040404040404 0.942105263157895 0.000279124294017965
"2" 2 0.129651860744298 0.0542889332013376 0.184291898577613 0.0457020040336438 1 0.95 1 NA
"3" 3 0.0696278511404562 0.0336160437196987 0.110080395794681 0.0359711080648824 1 1 0.961538461538462 NA
"4" 4 0.291842764503062 0.0815062383359324 0.180581323438466 0.0460812589989693 0.995454545454545 0.92600422832981 0.938571428571429 0.000362161735852812
"5" 5 0.0940428119299668 0.0382537352389332 0.106369820655535 0.0295447285798779 0.995689655172414 0.885057471264368 0.9625 0.000198180826862452
"6" 6 0.167817776461234 0.056886156651879 0.17687074829932 0.043979370443016 0.987179487179487 0.888461538461538 0.885057471264368 0.000494625624433725
"7" 7 0.115593225241904 0.0467793012210479 0.132343846629561 0.0354172371479308 0.996996996996997 0.970760233918129 0.897297297297297 0.0001794715858649
"8" 8 0.263200137197736 0.0644550078116482 0.144712430426716 0.0343046223376287 0.994318181818182 0.935828877005348 0.911458333333333 0.000395770038570154
"9" 9 0.207563653733745 0.0526838377207397 0.166975881261596 0.0381888450765996 0.994791666666667 0.918269230769231 0.936274509803922 0.000323419377678414
"10" 10 0.168067226890756 0.0579736385084914 0.150896722325294 0.0363469987216075 1 0.96078431372549 1 NA
