"round" "dhat_doubleObs" "sed_double" "dhat_singleObs" "sed_single." "probOverall" "probObs1" "probObs2" "sed_double_mod"
"1" 1 0.0960384153661465 0.0401148330379734 0.113790970933828 0.0326377771126663 1 0.916666666666667 1 NA
"2" 2 0.144862414239439 0.0516459145188738 0.204081632653061 0.044319482639986 0.994444444444444 0.904040404040404 0.942105263157895 0.000279124294017965
"3" 3 0.129651860744298 0.0542889332013376 0.184291898577613 0.0457020040336438 1 0.95 1 NA
"4" 4 0.0696278511404562 0.0336160437196987 0.110080395794681 0.0359711080648824 1 1 0.961538461538462 NA
"5" 5 0.291842764503062 0.0815062383359324 0.180581323438466 0.0460812589989693 0.995454545454545 0.92600422832981 0.938571428571429 0.000362161735852812
"6" 6 0.0940428119299668 0.0382537352389332 0.106369820655535 0.0295447285798779 0.995689655172414 0.885057471264368 0.9625 0.000198180826862452
"7" 7 0.167817776461234 0.056886156651879 0.17687074829932 0.043979370443016 0.987179487179487 0.888461538461538 0.885057471264368 0.000494625624433725
"8" 8 0.115593225241904 0.0467793012210479 0.132343846629561 0.0354172371479308 0.996996996996997 0.970760233918129 0.897297297297297 0.0001794715858649
"9" 9 0.263200137197736 0.0644550078116482 0.144712430426716 0.0343046223376287 0.994318181818182 0.935828877005348 0.911458333333333 0.000395770038570154
"10" 10 0.207563653733745 0.0526838377207397 0.166975881261596 0.0381888450765996 0.994791666666667 0.918269230769231 0.936274509803922 0.000323419377678414
"11" 11 0.168067226890756 0.0579736385084914 0.150896722325294 0.0363469987216075 1 0.96078431372549 1 NA
"12" 12 0.209705929615941 0.0637252015316298 0.11873840445269 0.033866507740189 0.996078431372549 0.967619047619048 0.878892733564014 0.000282810017768455
"13" 13 0.0672268907563025 0.0314883002367443 0.10760667903525 0.0299203332062019 1 0.954545454545455 1 NA
"14" 14 0.127250900360144 0.0465206903409605 0.15460729746444 0.0420859125441622 1 0.96078431372549 1 NA
"15" 15 0.139721440415631 0.0528449315576717 0.153370439084725 0.0404825379903928 0.996666666666667 0.972357723577236 0.879411764705882 0.000207897282782876
"16" 16 0.0864345738295318 0.0446643559841707 0.139764996907854 0.0401453880475766 1 0.952380952380952 1 NA
"17" 17 0.27507974403779 0.0734684243143194 0.253555967841682 0.048210145961974 0.995018679950187 0.919447640966628 0.938160469667319 0.000369982701702671
"18" 18 0.224375881739557 0.0608112159553691 0.168212739641311 0.039210256426837 0.995157384987893 0.928813559322034 0.931972789115646 0.000324417450771332
"19" 19 0.202052091554854 0.0662589053474121 0.183055040197897 0.0431765384556571 0.998161764705882 0.967914438502674 0.942708333333333 0.000180799270112843
"20" 20 0.153824241561031 0.0538676100472992 0.0853432282003711 0.0283350024521674 0.998941798941799 0.963265306122449 0.97119341563786 0.000114542846222713
"21" 21 0.205270457697642 0.0650624648558499 0.275819418676562 0.0528706740607884 0.994208494208494 0.919642857142857 0.927927927927928 0.000338545696960451
"22" 22 0.151260504201681 0.051713202763197 0.149659863945578 0.0366593832710161 1 1 0.936170212765957 NA
"23" 23 0.237176470588235 0.0756178568910599 0.200371057513915 0.0443170928698168 0.992063492063492 0.905797101449275 0.915750915750916 0.000437789168960971
"24" 24 0.246541569647993 0.0784328364924858 0.256029684601113 0.0524909281113244 0.993333333333333 0.93125 0.903030303030303 0.000422270181728375
"25" 25 0.177671068427371 0.0618910050944608 0.124922696351268 0.0346391696184714 1 0.947368421052632 1 NA
"26" 26 0.0775766617326542 0.0316930248311645 0.134817563388992 0.0326193834338798 0.990384615384615 0.88034188034188 0.919642857142857 0.000283793935148011
"27" 27 0.225971334984803 0.0646566100348131 0.170686456400742 0.0444062237313251 0.998756218905473 0.958805970149254 0.969806763285024 0.000153289384614519
"28" 28 0.123428571428571 0.054516897468318 0.14100185528757 0.0419904557092743 0.992063492063492 0.946969696969697 0.850340136054422 0.000343811543604504
"29" 29 0.178440207251732 0.0627345417197324 0.147186147186147 0.0400855448321716 0.995689655172414 0.94672131147541 0.919098143236074 0.000282337394476344
